id,name,year,count
8,"Information and Computing Sciences",1980,85
8,"Information and Computing Sciences",1981,140
8,"Information and Computing Sciences",1983,121
8,"Information and Computing Sciences",1984,130
8,"Information and Computing Sciences",1985,166
8,"Information and Computing Sciences",1986,198
8,"Information and Computing Sciences",1987,191
8,"Information and Computing Sciences",1988,202
8,"Information and Computing Sciences",1989,214
8,"Information and Computing Sciences",1990,258
8,"Information and Computing Sciences",1991,264
8,"Information and Computing Sciences",1992,297
8,"Information and Computing Sciences",1993,334
8,"Information and Computing Sciences",1994,345
8,"Information and Computing Sciences",1995,518
8,"Information and Computing Sciences",1996,445
8,"Information and Computing Sciences",1997,554
8,"Information and Computing Sciences",1998,964
8,"Information and Computing Sciences",1999,1153
8,"Information and Computing Sciences",2000,1400
8,"Information and Computing Sciences",2001,1239
8,"Information and Computing Sciences",2002,1608
8,"Information and Computing Sciences",2003,2010
8,"Information and Computing Sciences",2004,2252
8,"Information and Computing Sciences",2005,2994
8,"Information and Computing Sciences",2006,2961
8,"Information and Computing Sciences",2007,3992
8,"Information and Computing Sciences",2008,3325
8,"Information and Computing Sciences",2009,4037
8,"Information and Computing Sciences",2010,3464
8,"Information and Computing Sciences",2011,3507
8,"Information and Computing Sciences",2012,3383
8,"Information and Computing Sciences",2013,3496
8,"Information and Computing Sciences",2014,3692
8,"Information and Computing Sciences",2015,3846
8,"Information and Computing Sciences",2016,3900
8,"Information and Computing Sciences",2017,3953
8,"Information and Computing Sciences",2018,3816
8,"Information and Computing Sciences",2019,2449
801,"Artificial Intelligence and Image Processing",1970,156
801,"Artificial Intelligence and Image Processing",1971,260
801,"Artificial Intelligence and Image Processing",1972,364
801,"Artificial Intelligence and Image Processing",1973,476
801,"Artificial Intelligence and Image Processing",1974,416
801,"Artificial Intelligence and Image Processing",1975,510
801,"Artificial Intelligence and Image Processing",1976,495
801,"Artificial Intelligence and Image Processing",1977,707
801,"Artificial Intelligence and Image Processing",1978,640
801,"Artificial Intelligence and Image Processing",1979,594
801,"Artificial Intelligence and Image Processing",1980,760
801,"Artificial Intelligence and Image Processing",1981,712
801,"Artificial Intelligence and Image Processing",1982,874
801,"Artificial Intelligence and Image Processing",1983,1091
801,"Artificial Intelligence and Image Processing",1984,994
801,"Artificial Intelligence and Image Processing",1985,1248
801,"Artificial Intelligence and Image Processing",1986,1642
801,"Artificial Intelligence and Image Processing",1987,2005
801,"Artificial Intelligence and Image Processing",1988,3198
801,"Artificial Intelligence and Image Processing",1989,2955
801,"Artificial Intelligence and Image Processing",1990,3999
801,"Artificial Intelligence and Image Processing",1991,3581
801,"Artificial Intelligence and Image Processing",1992,4310
801,"Artificial Intelligence and Image Processing",1993,5082
801,"Artificial Intelligence and Image Processing",1994,6014
801,"Artificial Intelligence and Image Processing",1995,6286
801,"Artificial Intelligence and Image Processing",1996,8270
801,"Artificial Intelligence and Image Processing",1997,8068
801,"Artificial Intelligence and Image Processing",1998,9430
801,"Artificial Intelligence and Image Processing",1999,9053
801,"Artificial Intelligence and Image Processing",2000,10301
801,"Artificial Intelligence and Image Processing",2001,9114
801,"Artificial Intelligence and Image Processing",2002,12808
801,"Artificial Intelligence and Image Processing",2003,11551
801,"Artificial Intelligence and Image Processing",2004,17095
801,"Artificial Intelligence and Image Processing",2005,19216
801,"Artificial Intelligence and Image Processing",2006,21479
801,"Artificial Intelligence and Image Processing",2007,21702
801,"Artificial Intelligence and Image Processing",2008,22442
801,"Artificial Intelligence and Image Processing",2009,22417
801,"Artificial Intelligence and Image Processing",2010,25053
801,"Artificial Intelligence and Image Processing",2011,22960
801,"Artificial Intelligence and Image Processing",2012,25400
801,"Artificial Intelligence and Image Processing",2013,24648
801,"Artificial Intelligence and Image Processing",2014,25843
801,"Artificial Intelligence and Image Processing",2015,26562
801,"Artificial Intelligence and Image Processing",2016,29345
801,"Artificial Intelligence and Image Processing",2017,28626
801,"Artificial Intelligence and Image Processing",2018,32172
801,"Artificial Intelligence and Image Processing",2019,15556
801,"Artificial Intelligence and Image Processing",2020,27
802,"Computation Theory and Mathematics",1966,137
802,"Computation Theory and Mathematics",1967,149
802,"Computation Theory and Mathematics",1968,171
802,"Computation Theory and Mathematics",1969,144
802,"Computation Theory and Mathematics",1970,147
802,"Computation Theory and Mathematics",1971,248
802,"Computation Theory and Mathematics",1972,292
802,"Computation Theory and Mathematics",1973,379
802,"Computation Theory and Mathematics",1974,449
802,"Computation Theory and Mathematics",1975,333
802,"Computation Theory and Mathematics",1976,455
802,"Computation Theory and Mathematics",1977,535
802,"Computation Theory and Mathematics",1978,485
802,"Computation Theory and Mathematics",1979,544
802,"Computation Theory and Mathematics",1980,574
802,"Computation Theory and Mathematics",1981,649
802,"Computation Theory and Mathematics",1982,540
802,"Computation Theory and Mathematics",1983,642
802,"Computation Theory and Mathematics",1984,720
802,"Computation Theory and Mathematics",1985,712
802,"Computation Theory and Mathematics",1986,900
802,"Computation Theory and Mathematics",1987,931
802,"Computation Theory and Mathematics",1988,1061
802,"Computation Theory and Mathematics",1989,1228
802,"Computation Theory and Mathematics",1990,1434
802,"Computation Theory and Mathematics",1991,1794
802,"Computation Theory and Mathematics",1992,1976
802,"Computation Theory and Mathematics",1993,2128
802,"Computation Theory and Mathematics",1994,2285
802,"Computation Theory and Mathematics",1995,2322
802,"Computation Theory and Mathematics",1996,2622
802,"Computation Theory and Mathematics",1997,2744
802,"Computation Theory and Mathematics",1998,3045
802,"Computation Theory and Mathematics",1999,2956
802,"Computation Theory and Mathematics",2000,3353
802,"Computation Theory and Mathematics",2001,3622
802,"Computation Theory and Mathematics",2002,4284
802,"Computation Theory and Mathematics",2003,4558
802,"Computation Theory and Mathematics",2004,5812
802,"Computation Theory and Mathematics",2005,5924
802,"Computation Theory and Mathematics",2006,6762
802,"Computation Theory and Mathematics",2007,6864
802,"Computation Theory and Mathematics",2008,6927
802,"Computation Theory and Mathematics",2009,6719
802,"Computation Theory and Mathematics",2010,6432
802,"Computation Theory and Mathematics",2011,6407
802,"Computation Theory and Mathematics",2012,6164
802,"Computation Theory and Mathematics",2013,6790
802,"Computation Theory and Mathematics",2014,6298
802,"Computation Theory and Mathematics",2015,6548
802,"Computation Theory and Mathematics",2016,6694
802,"Computation Theory and Mathematics",2017,6855
802,"Computation Theory and Mathematics",2018,7159
802,"Computation Theory and Mathematics",2019,4746
803,"Computer Software",1969,44
803,"Computer Software",1971,47
803,"Computer Software",1972,68
803,"Computer Software",1973,141
803,"Computer Software",1974,144
803,"Computer Software",1975,155
803,"Computer Software",1976,261
803,"Computer Software",1977,153
803,"Computer Software",1978,358
803,"Computer Software",1979,394
803,"Computer Software",1980,252
803,"Computer Software",1981,344
803,"Computer Software",1982,220
803,"Computer Software",1983,327
803,"Computer Software",1984,336
803,"Computer Software",1985,436
803,"Computer Software",1986,455
803,"Computer Software",1987,538
803,"Computer Software",1988,761
803,"Computer Software",1989,981
803,"Computer Software",1990,874
803,"Computer Software",1991,1094
803,"Computer Software",1992,1111
803,"Computer Software",1993,1413
803,"Computer Software",1994,1414
803,"Computer Software",1995,1493
803,"Computer Software",1996,1689
803,"Computer Software",1997,2116
803,"Computer Software",1998,2217
803,"Computer Software",1999,2355
803,"Computer Software",2000,2974
803,"Computer Software",2001,2970
803,"Computer Software",2002,3286
803,"Computer Software",2003,4003
803,"Computer Software",2004,4641
803,"Computer Software",2005,5326
803,"Computer Software",2006,5529
803,"Computer Software",2007,6666
803,"Computer Software",2008,7111
803,"Computer Software",2009,6594
803,"Computer Software",2010,6544
803,"Computer Software",2011,7205
803,"Computer Software",2012,7084
803,"Computer Software",2013,8106
803,"Computer Software",2014,7831
803,"Computer Software",2015,7705
803,"Computer Software",2016,7933
803,"Computer Software",2017,7766
803,"Computer Software",2018,8032
803,"Computer Software",2019,4472
804,"Data Format",1970,39
804,"Data Format",1971,38
804,"Data Format",1972,43
804,"Data Format",1974,47
804,"Data Format",1975,120
804,"Data Format",1976,60
804,"Data Format",1977,130
804,"Data Format",1978,167
804,"Data Format",1979,141
804,"Data Format",1980,189
804,"Data Format",1981,224
804,"Data Format",1982,198
804,"Data Format",1983,324
804,"Data Format",1984,307
804,"Data Format",1985,310
804,"Data Format",1986,521
804,"Data Format",1987,440
804,"Data Format",1988,451
804,"Data Format",1989,635
804,"Data Format",1990,507
804,"Data Format",1991,618
804,"Data Format",1992,796
804,"Data Format",1993,831
804,"Data Format",1994,869
804,"Data Format",1995,845
804,"Data Format",1996,1046
804,"Data Format",1997,1083
804,"Data Format",1998,1253
804,"Data Format",1999,1511
804,"Data Format",2000,1503
804,"Data Format",2001,1828
804,"Data Format",2002,1880
804,"Data Format",2003,2241
804,"Data Format",2004,3276
